"특성별(1)",특성별(2),2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020
"특성별(1)",특성별(2),이벤트를 가장한 홈페이지 접속,메일이나 게시판에 연결된 웹사이트 접속,공공·금융기관을 사칭한 전화를 통한 피싱,SNS를 통한 피싱,인스턴트메신저(카카오톡 라인 페이스북 메시지 등) 채팅 도중 프로그램 또는 앱 설치,문자 메시지 내 인터넷 주소(URL) 클릭,금융기관 홈페이지를 가장한 웹사이트 접속,잘 모르겠음,이벤트를 가장한 홈페이지 접속,메일이나 게시판에 연결된 웹사이트 접속,공공·금융기관을 사칭한 전화를 통한 피싱,SNS를 통한 피싱,인스턴트메신저(카카오톡 라인 페이스북 메시지 등) 채팅 도중 프로그램 또는 앱 설치,문자 메시지 내 인터넷 주소(URL) 클릭,금융기관 홈페이지를 가장한 웹사이트 접속,잘 모르겠음,이벤트를 가장한 홈페이지 접속,메일이나 게시판에 연결된 웹사이트 접속,공공·금융기관을 사칭한 전화를 통한 피싱,SNS를 통한 피싱,인스턴트메신저(카카오톡 라인 페이스북 메시지 등) 채팅 도중 프로그램 또는 앱 설치,문자 메시지 내 인터넷 주소(URL) 클릭,금융기관 홈페이지를 가장한 웹사이트 접속,잘 모르겠음,이벤트를 가장한 홈페이지 접속,메일이나 게시판에 연결된 웹사이트 접속,공공·금융기관을 사칭한 전화를 통한 피싱,SNS를 통한 피싱,인스턴트메신저(카카오톡 라인 페이스북 메시지 등) 채팅 도중 프로그램 또는 앱 설치,문자 메시지 내 인터넷 주소(URL) 클릭,금융기관 홈페이지를 가장한 웹사이트 접속,잘 모르겠음,이벤트를 가장한 홈페이지 접속,메일이나 게시판에 연결된 웹사이트 접속,공공·금융기관을 사칭한 전화를 통한 피싱,SNS를 통한 피싱,인스턴트메신저(카카오톡 라인 페이스북 메시지 등) 채팅 도중 프로그램 또는 앱 설치,인스턴트메신저 채팅 또는 문자메시지 내 인터넷주소(URL) 클릭,잘 모르겠음,이벤트를 가장한 홈페이지 접속,메일이나 게시판에 연결된 웹사이트 접속,공공·금융기관을 사칭한 전화를 통한 피싱,SNS를 통한 피싱,인스턴트메신저(카카오톡 라인 페이스북 메시지 등) 채팅 도중 프로그램 또는 앱 설치,금융기관 홈페이지를 가장한 웹사이트 접속,인스턴트메신저 채팅 또는 문자메시지 내 인터넷주소(URL) 클릭
"직업별",기능직,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.0,0.0,0.0,0.0,0.0,50.0,50.0
"직업별",서비스/판매직,6.8,65.4,6.0,32.7,66.6,5.3,43.7,4.9,24.9,14.2,3.7,30.9,10.5,20.9,44.4,9.3,0.0,0.0,58.5,22.6,0.0,0.0,18.9,0.0,32.6,15.0,43.7,0.0,10.8,23.6,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업별",생산관련직,0.0,23.7,0.0,0.0,23.7,13.3,62.9,0.0,36.3,29.6,20.2,53.9,50.1,36.3,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,59.3,28.2,28.2,0.0,18.3,0.0,0.0,12.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"직업별",기타,33.8,19.6,0.0,0.0,43.6,10.7,42.2,0.0,23.0,44.4,23.3,36.4,26.9,29.1,14.5,4.9,9.6,0.0,18.3,18.3,18.3,49.0,40.2,23.0,54.8,53.3,6.6,18.8,29.8,6.0,13.7,0.0,46.7,0.0,53.3,0.0,0.0,0.0,0.0,10.3,0.0,48.7,10.3,43.4,0.0,9.9
"직업별",(학생),51.7,0.0,0.0,0.0,50.6,7.0,33.7,0.0,31.8,30.4,33.5,25.4,32.2,31.5,9.6,8.6,18.8,0.0,36.0,36.0,36.0,0.0,0.0,45.2,83.8,46.5,16.2,0.0,16.2,0.0,0.0,0.0,55.0,0.0,0.0,80.0,31.2,0.0,0.0,7.7,9.7,15.1,0.0,31.0,0.0,36.4
"직업별",(주부),24.8,29.4,0.0,0.0,40.1,12.6,46.4,0.0,12.5,69.7,0.0,56.4,21.9,28.6,23.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,82.1,0.0,17.8,47.1,0.0,40.1,49.3,12.8,29.3,0.0,0.0,36.8,49.2,10.3,18.4,0.0,22.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
"직업별",(무직/기타),-,-,-,-,-,-,-,-,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"가구소득별",200만원 미만,0.0,0.0,0.0,0.0,23.3,22.2,54.5,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,-,-,-,-,-,-,-,-,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,0.0,55.8,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
"가구소득별",200~300만원 미만,5.9,42.6,0.0,0.0,58.5,0.0,77.0,0.0,22.0,44.2,7.2,59.9,20.7,33.0,11.5,0.0,-,-,-,-,-,-,-,-,60.5,44.0,24.8,10.8,0.0,25.6,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0
"가구소득별",300~400만원 미만,0.0,67.1,4.8,28.7,68.4,14.5,55.9,3.9,31.7,38.7,22.1,41.3,15.1,14.4,21.4,3.9,36.1,18.8,46.9,19.7,19.7,17.0,0.0,0.0,50.4,51.6,13.9,0.0,28.1,20.0,0.0,0.0,0.0,37.2,46.7,53.3,37.2,0.0,0.0,31.4,0.0,27.5,11.1,21.3,10.7,19.4
"가구소득별",400~500만원 미만,49.8,26.7,0.0,8.6,25.4,10.3,26.3,4.2,6.8,20.5,17.9,22.1,51.7,29.5,28.7,0.0,31.2,20.4,18.4,0.0,0.0,44.5,28.0,0.0,27.3,9.8,44.9,27.8,23.7,0.0,0.0,0.0,26.9,0.0,3.8,51.4,34.1,3.4,0.0,28.8,9.9,17.9,0.0,24.0,0.0,19.5
"가구소득별",500만원 이상,47.9,29.7,0.0,8.1,49.2,16.7,30.6,0.0,26.5,29.1,4.1,4.6,11.6,11.4,43.7,11.6,18.2,22.1,9.7,25.9,22.2,9.8,0.0,43.6,19.1,22.3,11.7,36.1,20.3,14.5,20.3,5.7,48.2,22.2,5.1,16.7,0.0,0.0,24.5,15.8,26.9,32.1,16.7,26.3,0.0,8.0
